タイトル,cluster
よろしく、俺の花嫁殿。 〜神さまと空の花嫁〜 1,2
七十二候ノ国の後宮薬膳医 〜見習い陶仙女ですが、もふもふ達とお妃様の問題を解決します〜1,2
押しかけギャルの中村さん（7）,2
The JOJOLands 6,2
前世冷徹王子の馬でした 〜人になっても貴方を愛していいですか？〜 3,2
お憑かれさま、黒瀬くん　下,2
桃源暗鬼　26,2
あけくれのれん　今日も誰かのための食堂物語　3,2
魔法少女ダンデライオン（3）,2
孤高の王と陽だまりの花嫁が最幸の夫婦になるまで（2）,2
スタジオジブリの美術,5
かりあげクン（69）,5
その悪役貴族、ママヒロインが好きすぎる　3 〜真摯な努力で最強となり不遇な推しキャラ助けまくる〜,2
ロマンチックが似合わない,2
POLE　STAR（6）,2
飯炊き女にヤクザの愛は重すぎる（3）,2
青春鉄道　2026年度版,2
田部さんは食べられたい　11,2
久々に健康診断を受けたら最強ステータスになっていた 〜追放されたオッサン冒険者、今更英雄を目指す〜 1,2
ヤニねこ（10）,2
ブチ切れ令嬢は報復を誓いました。 9 〜魔導書の力で祖国を叩き潰します〜,5
幼女戦記　（32）,2
巻き込まれて召喚された限界OL、ギルド所属のとして奮闘中　THE COMIC（1）,2
俺だけレベルアップな件 19,2
アストロキング 召喚勇者だけど下級認定されたのでメイドハーレムを作ります！ 5,2
おひとり様のナナイさん,2
DOG　SIGNAL　14,2
起承転転　1,2
幼馴染みの心の声は「好き」であふれてる,2
最後の不良 9,2
おかえり、初恋。5,2
D.Gray-man 29,2
ババンババンバンバンパイア　12,2
薬屋のひとりごと〜猫猫の後宮謎解き手帳〜（20）,2
え、テイマーは使えないってパーティから追放したよね？　〜実は世界唯一のだと判明した途端に手のひらを返されても遅い。精霊の王女様にめちゃくちゃ溺愛されながら、僕はマイペースに最強を目指すので（7）,2
ONE PIECE 111,2
婚約者が浮気相手と駆け落ちしました。王子殿下に溺愛されて幸せなので、今さら戻りたいと言われても困ります。4,2
淑女の鑑やめました。時を逆行した公爵令嬢は、わがままな妹に振り回されないよう性格悪く生き延びます!（6）,2
皇帝廟の花嫁探し　2,2
聖母の断罪 6,2
タワーダンジョン（5）,2
太陽よりも眩しい星 12,2
あめとむち　5,2
ふたりソロキャンプ（21）,2
新米オッサン冒険者、最強パーティに死ぬほど鍛えられて無敵になる。 12,2
温泉で秘密のお泊り、241回目 1,2
RIOT（3）,6
ウマ娘 シンデレラグレイ 20,2
蒼き鋼のアルペジオ　29,2
まんがで！にゃんこ大戦争（17）,6
ディグイット（1）,2
両親の借金を肩代わりしてもらう条件は日本一可愛い女子高生と一緒に暮らすことでした。（6）,2
くらいあの子としたいこと　7,2
WORST外伝　サブロクサンタ　名もなきカラスたち　12,2
ジャンク・ランク・ファミリー　19,2
不老不死少女の苗床旅行記　4,2
偽物令嬢の復讐（3）,6
どろろと百鬼丸伝　13,2
はじめてのセフレ（1）,2
夫を味方にする方法　4,2
悪役令嬢にハッピーエンドの祝福を！アンソロジーコミック（5）,2
最強陰陽師の異世界転生記〜下僕の妖怪どもに比べてモンスターが弱すぎるんだが〜（11）,2
推しとの百合はありえない！　3,2
ふたり鷹 完全版（第2巻）,2
野球・文明・エイリアン 2,2
去る者は日々に疎し　11,2
全知的な読者の視点から　05（5）,2
Mr．CB　17,2
大江戸ブラック・エンジェルズ（7巻）,2
悪役令嬢は溺愛ルートに入りました！？（コミック）（6）,2
いっそこれを運命と呼べ（2）,2
家守綺譚 上,2
バブル・ザムライ（6）,6
香港ネクロポリス 壱（1）,2
捕虜英雄〜捨て駒にされた剣奴は敵国で成り上がる〜 1,2
求愛サキュレント〜運命なので番ってください〜,2
『タッチ』ポスターコレクション2,5
雑兵めし物語（4）,2
ねこぱんち　まるまり秋ネコ号,5
苦節四年、理想の聖女を演じるのに疲れました 〜便利屋扱いする国は捨て“白魔導士”となり旅に出る〜（1）,2
ふたりエッチ 94,2
貞操逆転世界で唯一の男騎士の俺、女騎士学園に入学したらなぜか英雄扱いされた 〜絶倫スキルでハーレム無双〜（1）,2
遊☆戯☆王OCG STORIES 4,2
ケーキ・ドッグ・カラメリゼ,2
運送屋のおっさんがなぜか副業で絶対無敵剣士を務めることに　〜さえない人生を送ってた俺が魔王討伐の切り札に？〜　3,2
シャンパンタワーの向こう側　（3）,2
めじとやも　2,2
『ロマンス潰し』の女公爵は第二王子の執着愛に気付かない（2）,2
インフィニット・デンドログラム 15,2
貴腐人ローザは陰から愛を見守りたい　4,2
推しがとなりで寝てまして　2,2
不浄を拭うひと（8）,2
婚約破棄された飯炊き令嬢の私は冷酷公爵と専属契約しました　〜ですが胃袋を掴んだ結果、冷たかった公爵様がどんどん優しくなっています〜（2）,2
MFゴースト（22）,2
半グレー六本木　摩天楼のレクイエムー　13,2
湘南爆走族　ファースト　フラッグ　5,2
俺と聖女がデキてることがバレたらこのパーティーは崩壊する 1,2
異世界で愛されすぎて困ってます！ 異世界BLアンソロジー（3）,2
ドラえもんたのしいポスターコレクション（1）,6
篝家の8兄弟（3）,2
空母いぶきGREAT GAME（16）,6
ヒロインなのに、イケメンアイドル♂になりました！？（4）,2
ペリリュー -外伝ー 4,2
ロージナ年代記 1,5
あつまれ どうぶつの森 〜無人島Diary〜（12）,5
カラダ探し THE LAST NIGHT 2,2
追放されるたびにスキルを手に入れた俺が、100の異世界で2周目無双　5,2
SAKAMOTO DAYS 23,2
2.5次元の誘惑 24,2
メダリスト（12）,2
空の音色（4）,6
誰が勇者を殺したか　（1）,2
ザ・ファブル　The　third　secret　（1）,2
星屑の王子様（9）,6
なごみ吸血鬼のこごみさん（1）,2
三国志凶漢伝 暴喰の董卓 1,2
獣王子の偽恋花嫁　1,2
ドッグスレッド 6,2
異世界に転移したら山の中だった。反動で強さよりも快適さを選びました。（7）,2
大谷博子　風のペンション傑作選 片割れの月,5
ヒモクズ花くんは死にたがり（3）,2
後宮香妃物語　11,2
溺愛コンプレックス（3）,2
ブレイド＆バスタード7,2
青藍の夜にくちづけて,2
貼りまわれ！こいぬ　7,2
失恋メイドは美形軍人に溺愛される  〜実は最強魔術の使い手でした〜,2
異世界商人　スキル〈異世界渡航〉を駆使して、悠々自適なお金持ちスローライフを送ります（4）,2
わたしの工口先生2,2
めっちゃ召喚された件 THE COMIC（11）,2
学園物の乙女ゲームの世界に転生したけど、チート持ちの背景男子生徒だったようです。（9）,2
鉄錆と1000カラット3,2
追放されたチート付与魔術師は気ままなセカンドライフを謳歌する。　〜俺は武器だけじゃなく、あらゆるものに『強化ポイント』を付与できるし、俺の意思でいつでも効果を解除できるけど、残った人たち大丈夫？〜（18）,2
クッキングパパ　ブリめし,5
あかつきに漣 1,2
東の森の魔女の庭（5）,2
新コボちゃん　59,5
Villainな奥さま　2,2
岩肌の花嫁は愛で溶かされる 1,2
お求めいただいた暴君陛下の悪女です（5）,2
俺だけレベルアップな件 18,2
Fate／Grand　Order-turas　realta-（21）,2
星降る王国のニナ（17）,2
ねこはねこらしくあれ　5,2
無防備かわいいパジャマ姿の美少女と部屋で二人きり（2）,2
技巧貸与＜スキル・レンダー＞のとりかえし　トイチって最初に言ったよな？（11）,2
刀剣乱舞〜日本号つれづれ酒〜 （　5）完,5
愛でて春〜呪われた公爵騎士様は溺愛する〜（2）,6
人妻とJK5,2
諸星大二郎劇場 第6集 アリスとシェエラザード〜騙し絵の館〜,6
体重減・筋肉増で健康寿命を延ばす! あすけん公式 人生最後のダイエット,5
穏やか貴族の休暇のすすめ。@COMIC 第14巻,2
海賊×少女　1,2
ハズレ枠ので最強になった俺がすべてを蹂躙するまで 12,2
数字であそぼ。（14）,6
ダチ部！ -とんでもないモチベーションでダチっぽいことをする部活 -,2
魔道具師リゼ、開業します 4,2
カナン様はあくまでチョロい（11）,2
幼女無双（4）,2
Spotted Flower 8,5
呪術廻戦 29,2
強制除霊師・斎　二十四の因果,2
紛争でしたら八田まで（18）,2
シャンバラッド（2）,2
ミステリと言う勿れ（15）,6
透明男と人間女〜そのうち夫婦になるふたり〜（8）,2
首都高SPL　ゼロ（1）,2
その天才様は偽装彼女に執着する（1）,2
私は偽聖女らしいので、宮廷を出て隣国で暮らします（3）,2
異世界町工場無双　〜信頼と実績の異世界征服〜（5）,2
大正學生愛妻家（2）,2
私の心はおじさんである 3,2
日常ロック　10,2
追放された転生王子、『自動製作』スキルで領地を爆速で開拓し最強の村を作ってしまう〜最強クラフトスキルで始める、楽々領地開拓スローライフ〜（5）,2
ブルーロックーEPISODE　凪ー（8）,2
霊能者緒方克巳コレクション　憑付の災禍編,5
士郎正宗の世界展　公式原画集　SHIROW　MASAMUNE　ARTWORKS　IN　THE　SHELL,2
優しい家族と、たくさんのもふもふに囲まれて。〜異世界で幸せに暮らします〜（11）,2
悪党のお父様、私と結婚してください 4,2
図書館の大魔術師（9）,2
巻き添えで異世界に喚び出されたので、世界観無視して和菓子作ります（3）,6
夏目友人帳 32,2
氷の皇帝の鳥籠の中で 2,2
魔男のイチ 4,2
彼岸島　48日後…（51）,2
ゴルゴ13（218巻）,2
後宮一番の悪女 4,2
最弱貴族に転生したので悪役たちを集めてみた（3）,2
修羅の刻（23）,2
幽霊城の旦那様 4,2
ちびっ子転生日記帳〜お友達いっぱいつくりましゅ！〜 THE COMIC（2）,2
ウマ娘 シンデレラグレイ 19,2
九条の大罪（14）,2
凪のお暇　12,2
ダンダダン 20,2
火喰鳥　羽州ぼろ鳶組　2,2
雨と君と（8）,5
訳アリ心霊マンション 6,2
十勝ひとりぼっち農園（18）,2
『タッチ』ポスターコレクション1,5
キルアオ 12,2
婚約破棄された無表情令嬢が幸せになるまで〜勤務先の天然たらし騎士団長様がとろっとろに甘やかして溺愛してくるのですが！？〜（2）,2
新装版 機動戦士ガンダム クライマックスU.C. 紡がれし血統（1）,2
「おかえり、パパ」　5,2
棕櫚の木の下で 2.,5
二階堂地獄ゴルフ（9）,2
悪役令嬢に転生したはずが、主人公よりも溺愛されてるみたいです（7）,2
パワハラギルマスをぶん殴ってブラック聖剣ギルドをクビになったので、辺境で聖剣工房を開くことにした 2,2
19番目のカルテ 徳重晃の問診（12）,2
銀牙伝説外伝！番犬ジョン!! （　1）,5
新装版 機動戦士ガンダム クライマックスU.C. 紡がれし血統（2）,2
菜 Complete Box 2 菜 Complete Edition 4・5・6巻セット,5
コードギアス　復活のルルーシュ　（6）,2
全部救ってやる（6）,6
黒妖の花嫁〜忌み嫌われた私が冷酷大尉に愛されるまで〜,2
悪役令嬢の四畳半　2,2
日陰者でもやり直していいですか？ 3,2
CAT'S EYE 新装版（7）,2
破局予定の悪女のはずが、冷徹公爵様が別れてくれません！ 5,2
ポイントギフター《経験値分配能力者》の異世界最強ソロライフ〜ブラックギルドから解放された男は万能最強職として無双する〜（7）,2
追放領主の孤島開拓記（3）,2
美少女戦士セーラームーン　レゾネ　ART　WORKS　1991〜2023,5
負けヒロインを勝たせたい！！　1,2
ある魔女が死ぬまで 5 終わりの言葉と始まりの涙,2
見捨てられた最弱テイマー、封印されていた美少女ドラゴンと契約して最強に至る（1）,2
咲き還り姫の葬歌　〜捨てられた花は復讐に舞う〜　4,2
拷問バイトくんの日常 もっと楽屋ウラ小冊子付き特装版 7,2
呪術廻戦 28,2
ガクサン（12）,2
黒月のイェルクナハト（2）,2
中禅寺先生物怪講義録　先生が謎を解いてしまうから。（12）,2
シリアルキラー異世界に降り立つ　異世界バトルロイヤル　3,2
珍獣のお医者さん　4巻,2
JJM　女子柔道部物語　社会人編（3）,2
阿闍梨蒼雲　霊幻怪異始末9,5
海の見える台所　4,5
青と陽炎（3）,2
元貴族の四兄弟はくじけない！　〜ちびっ子だけどおっきなもふもふと一緒に大切な家族をまもるのら！〜（2）,2
盗掘王　10,2
妹は知っている（4）,2
回帰した悪逆皇女は黒歴史を塗り替える　3,2
そうです、私が美容バカです。極ツヤ,5
ティアムーン帝国物語〜従者たちのお茶会〜 第2巻,2
俺ん家が女子の溜まり場になっている件1,2
幽霊城の旦那様 5,2
ビブリア古書堂の事件手帖 扉子と虚ろな夢（3）,2
焼いてるふたり（21）,2
ポンコツ魔王の田舎暮らし 5,2
WジュリエットII 16,2
王子な姫とヒメな僕　2,2
ニャーゴとピュロロロ（1）,6
伍と碁（3）,2
『機動戦士ガンダムサンダーボルト』26集限定版 描きおろしBOOK付き,5
じゃあ、あんたが作ってみろよ（3）,2
はじめてのギャル　（21）,2
ケントゥリア 6,2
進撃のえろ子さん〜変なお姉さんは男子高生と仲良くなりたい〜 9,2
WORST外伝　ゼットン先生　16,2
ロマンシング サ・ガ2 I -皇帝ジェラール編ー,5
GTO　パラダイス・ロスト　改（7）,2
あなたのお城の小人さん　〜御飯下さい、働きますっ〜（コミック）（2）,5
サンキューピッチ 3,2
ネトオク男の楽しい異世界貿易 2,2
勇者は村人Aに恋をする,2
戦姫サバイバルサガ （3） -異世界の運命をかけた無人島フジュン異性交遊ー,2
映画は予告編の後に始まる（下）,2
完全版　小説　落第忍者乱太郎　ドクタケ忍者隊　最強の軍師,2
鴨乃橋ロンの禁断推理 18,2
転生厨師の彩食記 異世界おそうざい食堂へようこそ！ 1,2
呪術廻戦 30,2
となりの席のヤツがそういう目で見てくる（4）,6
『タッチ』ポスターコレクション3,5
春の嵐とモンスター 8,2
チチチチ　8,2
矢野くんの普通の日々（11）,2
茉莉花官吏伝　〜後宮女官、気まぐれ皇帝に見初められ〜　12,2
わたしが恋人になれるわけないじゃん、ムリムリ！ （※ムリじゃなかった!?） 8,2
舞妓さんちのまかないさん（30）,6
なぎら健壱　バチ当たりの昼間酒　その五,5
おしえて執事くん（1）,2
Nighty、Night Nightmare,2
野生のラスボスが現れた！　黒翼の覇王1〜3スペシャルプライスパック,5
ニートだけどハロワにいったら異世界につれてかれた14,2
ゆるキャン△　17,5
ガチャを回して仲間を増やす　最強の美少女軍団を作り上げろ　THE　COMIC　13,2
龍の巫女の嫁入り〜いらないほうの娘、つがいの帝国総司令に溺愛される〜（2）,2
GTO　パラダイス・ロスト　改（8）,2
他人のフリして同僚に抱かれています -Complete ver.- ボイス付き特装版,2
カードファイト！！ ヴァンガード スカイライド（4）,6
閻魔の教室　2,2
ヴェールの聖女〜醜いと誤解された聖女、イケメン護衛騎士に溺愛される〜（5）,2
名前のない病気（2）,6
転生した女マフィアは異世界で平凡に暮らしたい（4）,2
聖闘士星矢　冥王異伝　ダークウィング　8,2
傷物令嬢の最後の恋（1）,2
異世界居酒屋「のぶ」　（20）,2
1095日の花束 dozen rose,2
お嬢の愛は俺のもの　1,2
男嫌いな美人姉妹を名前も告げずに助けたら一体どうなる?　4,2
「美人でお金持ちの彼女が欲しい」と言ったら、ワケあり女子がやってきた件。　6,2
あの山越えて　日・日・天のたより　11,2
ダンジョンシーカーズ（2）,2
悪役令息は逆ハーレムから逃げ出したい,2
満州アヘンスクワッド（21）,2
邪神の弁当屋さん（2）,2
太田垣康男珠玉短編集 Candy Box Creations,2
社外取締役　島耕作（6）,2
イナズマイレブン 完全版（上巻）,6
救済の教室（5）,2
ムショぼけ　〜懲役たちのレクイエム〜　5,2
婚約者が浮気相手と駆け落ちしました。王子殿下に溺愛されて幸せなので、今さら戻りたいと言われても困ります。3,2
キングダム 74,2
大学入学時から噂されていた美少女三姉妹、生き別れていた義妹だった。2,2
今日も王子が尊いです。（10）,6
となりの猫と恋知らず（5）,2
副音声はうるさい十分に（6）,2
目が覚めたら投獄された悪女だった@COMIC 第3巻,2
Re:ゼロから始める異世界生活 第四章 聖域と強欲の魔女 12,2
妹に婚約者を譲れと言われました 最強の竜に気に入られてまさかの王国乗っ取り？ 11,2
ラグナクリムゾン（16）,2
TOUGH 龍を継ぐ男 35,2
魔法使いの嫁 22,2
ウマ娘 シンデレラグレイ 18,2
京都寺町三条のホームズ（15）,2
Splatoon バンカラ！（7）,6
300年後に復活した大魔法使い 02（2）,2
花に噛みぐせ（4）,2
うるわしの宵の月（9）,2
国外追放された王女は、敵国の氷の王に溺愛される　3,2
落第忍者乱太郎プレミアムBOXセット3,5
よつばと!,2
静かなるドン　- もうひとつの最終章 -（7）,2
釣って食べたいギャル澤さん 3,2
胚培養士（はいばいようし）ミズイロ（8）,6
INNU（5）,2
機動戦士ガンダムエイト　（1）,2
無能と呼ばれた『精霊たらし』 〜実は異能で、精霊界では伝説的ヒーローでした〜＠COMIC（7）,2
超人X 13,2
異世界賢者の転生無双　〜ゲームの知識で異世界最強〜（12）,2
メオトデサファリ2,2
異世界で孤児院を開いたけど、なぜか誰一人巣立とうとしない件（11）,2
稲穂くんは偽カノジョのはずなのに（3）,2
マンガの原理,5
カグラバチ 8,2
出禁のモグラ公式ファンブック　百暗現世道標,5
この恋を星には願わない 5,2
妃教育から逃げたい私 7,2
ボーイッシュ彼女が可愛すぎる（3）,2
K-9　警視庁公安部公安第9課異能対策係（2）,2
ホタルの嫁入り（8）,6
クラスメイトの元アイドルが、とにかく挙動不審なんです。　5,2
社畜テイマー、可愛いスライムのおかげで無自覚なまま無双する 2 〜うっかり国内トップの配信に映り込んで最強がバレました〜,2
江戸前の旬 （131）,2
真剣恋愛極道ーガチコイヤクザー（3）,2
婚約破棄された令嬢は本当の愛とハッピーエンドを手に入れます！アンソロジーコミック,2
魔入りました！入間くん　if　Episode　of　魔フィア　6,2
アルテ（21）,2
球詠　18,2
デブとラブと過ちと！　7,2
シュルスの魔女 （12）完,2
おあずけは、悪い夜の合図,2
Sランクパーティから解雇された〜『呪いのアイテム』しか作れませんが、その性能はアーティファクト級なり……！〜（12）,2
お酒によわい安藤さん,2
冷遇婿ライフを満喫しようとしたら、溺愛ルートに入りました!? 1,2
冷遇婿ライフを満喫しようとしたら、溺愛ルートに入りました!? 2,2
一勝千金（6）,2
異世界辺境メシ（3）,2
魔入りました！入間くん　43,2
ウリッコ（1）,2
ダンダダン 19,2
きのこいぬFUNFUN（1）,2
DDNAngels,2
ファントムバスターズ 6,2
コミック 鬼平犯科帳126,2
幽闇のカナタ　（3）,2
モブ同然の悪役令嬢は男装して攻略対象の座を狙う＠COMIC 第3巻,2
薫る花は凛と咲く（17）,2
ただいま、おじゃまされます！ 2,2
みなみけ（28）,2
聖闘士真理矢　2,2
貼りまわれ！こいぬ　8,2
壊胎 1,2
金色のガッシュ!! 2（5）,2
狼と香辛料Spring LogII（2）,2
名探偵コナン カラーイラスト全集 1994-2025,5
魔物の国（3）,6
このたび鬼上司の秘書になりまして 4,2
きみが恋に溺れる 完全版 上,2
CAT'S EYE 新装版（8）,2
キミのトルソをつくりたい（2）,2
不徳のギルド（16）,2
目の前の惨劇で前世を思い出したけど、あまりにも問題山積みでいっぱいいっぱいです。 2,2
書くなる我ら（2）,2
青のオーケストラ（12）,2
ラディカル・ホスピタル　42,5
訳あり伯爵様と契約結婚したら、義娘（六歳）の契約母になってしまいました。（3）,2
今宵もお待ちしております（6）,6
ウルトラ兄弟物語 特別愛蔵版（2）,5
異世界ウォーキング（12）,2
COSMOS（7）,6
本なら売るほど 1,2
悪食令嬢と狂血公爵〜その魔物、私が美味しくいただきます！〜公式ファンブック,5
左遷された宮廷魔法使い、実は魔法がなくても最強 3,2
少年陰陽師　（6）,2
罰　1,2
剥かせて！竜ケ崎さん 6,2
あかつきのヒマリとくま　1,5
シャイニング！（7）,6
闇堕ち勇者の背信配信＠comic（3）,6
弱虫ペダル　特装版　97,5
暁のヨナ 46,2
れんげとなると！（5）,6
海皇紀　新装版（22）,2
本物のカノジョにしたくなるまで、私で試していいよ。 2,2
妹にすべてを奪われた令嬢は婚約者の裏切りを知り回帰する 2,5
氷の皇帝の鳥籠の中で 1,2
元探索者のおじいちゃん〜孫にせがまれてダンジョン配信を始めたんじゃが、なぜかバズりおったわい〜（1）,2
盲目の織姫は後宮で皇帝との恋を紡ぐ　5,2
APPLE　PARADISE,2
クラス召喚に巻き込まれた教師、外れスキルで機械少女を修理する（8）,2
やらかし王子が家に来た！　3,2
詐騎士（15）,2
ニーベルングの指環 完全版（4）,5
異世界グルメで成り上がり無双〜山に追放されたので、のんびりキャンプを楽しんでいたらいつの間にか強くなっていて、王侯貴族や実力者たちが俺を放っておいてくれません。一方、俺を追放した貴族たちは破滅が始まる〜（2）,2
楽園 Le Paradis 第49号 49,5
極悪王子の愛玩聖女 脱走聖女は呪われ殿下に処女を奪われたい!?,2
今夜はどっちの“オレ”に抱かれたい？ 上司がWでエロ全開に迫ってきます!! 2,5
婚約破棄された研究オタク令嬢ですが、後輩から毎日求婚されています　1,2
いいから黙ってキスをして（6）,6
信じていた仲間達にダンジョン奥地で殺されかけたがギフト『無限ガチャ』でレベル9999の仲間達を手に入れて元パーティーメンバーと世界に復讐＆『ざまぁ！』します！（19）,2
青のミブロー新選組編ー（7）,2
黒崎さんの一途な愛がとまらない（8）,2
MIX（23）,6
外れスキル『レベルアップ』のせいでパーティーを追放された少年は、レベルを上げて物理で殴る（5）,2
綺麗にしてもらえますか。　〜ふたりぐらし〜（11）,2
准教授・高槻彰良の推察　公式アンソロジーコミック,5
お世話させていただきます！　犬猫保護施設の奮闘記,5
BORUTO-ボルトー 5 -TWO BLUE VORTEX-,2
ちくわ戦記〜おれのカワイイで地球侵略〜 6,2
木更津くんの××が見たい（12）,2
TSUYOSHI 誰も勝てない、アイツには（28）,6
ねずみロワイアル（3）,2
万府先生は吸血鬼（2）,2
Lv2からチートだった元勇者候補のまったり異世界ライフ 13,2
ウルトラマン×アベンジャーズ,2
ありふれた職業で世界最強 16,2
1日2回 6,2
戦隊大失格（19）,2
きみが恋に溺れる 完全版 下,2
真実の愛を見つけたと言われて婚約破棄されたので、復縁を迫られても今さらもう遅いです！（7）,2
ねこぱんち　ニャーニャーニャー♪号,5
ガラス工房の錬金術師（1）,2
スペースカーガールズ　3,2
パラレルパラダイス（29）,2
五等分の花嫁（3）,2
私を喰べたい、ひとでなし 11,2
味いちもんめ 継ぎ味（14）,2
悪祓士のキヨシくん 6,2
ドラえもんたのしいポスターコレクション（3）,6
反逆コメンテーターエンドウさん 4,2
文豪ストレイドッグス　（28）,2
聖女になるので二度目の人生は勝手にさせてもらいます 7 〜王太子は、前世で私を振った恋人でした〜,2
〜銀牙伝説〜レクイエム （　9）,2
子連れΩ、偽装交際はじめました（2）,2
わざと見せてる？ 加茂井さん。（13）,2
高嶺の花男くん7,2
ホーリーアンデッド（2）　〜非モテでぼっちの死霊術士が、聖女に転生してお友達を増やします〜,2
ハーレム王の異世界プレス漫遊記〜最強無双のおじさんはあらゆる種族を嫁にする〜（5）,2
裏ダンジョンおくさん（2）,2
ヤンキー君と科学ごはん 7,2
グラゼニ〜大リーグ編〜（8）,2
同じギルメンの声が好き　3,2
クッキングパパ　ミックスハンバーグ,5
才女のお世話 5 高嶺の花だらけな名門校で、学院一のお嬢様（生活能力皆無）を陰ながらお世話することになりました,2
王様ランキング　19,2
ときめきごはん　あったか肉うどん♪,5
桐谷さん ちょっそれ食うんすか！？（20）,2
全てのネガティブをプラスに変える夫　髭「さては人生3周目だな」編,5
踏んだり、蹴ったり、愛したり6,2
デキる猫は今日も憂鬱（11）,2
ゆかいな神統記 2,2
ワンナイト・モーニング　14,5
七つ屋志のぶの宝石匣（24）,2
ぐらんぶる（24）,2
プレデター　バッドブラッド,2
サチとユーカ　3,2
不条理雑貨店 UNREAL（4）,2
ウルトラマン:アロング・ケイム・ア・スパイダーマン（3）,6
私のHな履歴書みてください 13,2
異世界NTR　〜親友のオンナを最強スキルで堕とす方法〜　8,2
転生令嬢は精霊に愛されて最強です……だけど普通に恋したい！＠COMIC 第6巻,2
SUGAR GIRL,2
ラジエーションハウス 18,2
営業部の高杉さんは心臓に悪い 4,2
ハルタ 2025-NOVEMBER volume 129,2
チェルノブイリの祈り 4,2
魔託のヴァルムト（5）,2
名探偵コナン（107）,6
魔法少女リリカルなのはEXCEEDS（1）,5
終の退魔師 エンダーガイスター（21）,6
ギャル嫁の秘密（4）,2
魔法のリノベ（8）,2
王立魔法図書館の［錠前］に転職することになりまして（上）,2
盤上のオリオン（7）,2
陸奥圓明流異界伝　修羅の紋　ムツさんはチョー強い？！（15）,2
モブ子の恋（24）,2
アオのハコ 21,2
スパイダーマン:オクトパスガール 4,2
ある日、私は冷血公爵の娘になった　8,2
宇宙兄弟（44）,2
不幸令嬢でしたが、ハッピーエンドを迎えました　アンソロジーコミック（5）,2
とりぱん（34）,2
なのに、千輝くんが甘すぎる。（12）,2
天空の異世界ビストロ店 3 〜看板娘ソラノが美味しい幸せ届けます〜,2
イケないエリートΩは淫らにとろける（1）,2
玉川さん 出てました？（1）,2
Nostalgia world online〜首狩り姫の突撃！あなたを晩ご飯！〜@COMIC 第2巻,2
君を映して離さない 1,2
弱虫ペダル　96,2
ハヤテのごとく！ 完全版（22）,2
BEYBLADE X（ベイブレード エックス）（7）,6
REAL 16,2
ドカ食いダイスキ！ もちづきさん 2,2
失格紋の最強賢者 〜世界最強の賢者が更に強くなるために転生しました〜,2
BanG Dream! It's MyGO!!!!! 雨にそよいで晴れを請う 2,2
DEAD　Tube　〜デッドチューブ〜　27,2
ミハルの戦場（2）,6
上野くんは開発済み（4）,2
史記 愛蔵版（1）,6
応天の門 20,2
ばくおん！！　19,5
ベリーメリー ステップクリスマス,2
YOUNG＆FINE うみべのまちでぼくらはなかよしだったか,2
としのさ夫夫　2,2
こんなの、しらない（21）,2
ひらやすみ（2）,5
SAKAMOTO DAYS 22,2
にじさんじ（4）,2
MAO（25）,6
シバつき物件 4,2
ニーベルングの指環 完全版（3）,5
SHIORI EXPERIENCE ジミなわたしとヘンなおじさん,2
AKIRA　2,5
天国大魔境（12）,2
ちょっとだけ愛が重いダークエルフが異世界から追いかけてきた（5）,2
旦那様は最強　第5巻,2
DOGA（5）,2
悪の皇女はもう誰も殺さない（1）,2
ねえ先輩、俺だけ見てよ,2
花は二度咲き乱れる（5）,6
リベンジ・ウェディング（10）,6
売国機関 12,2
そんな家族なら捨てちゃえば？　14,2
みにくい遊郭の子（9）,2
ニューノーマル8,2
ただの飯フレです　（5）,2
小3アシベ　QQゴマちゃん（4）,5
ちいかわ　なんか小さくてかわいいやつ（7）,5
火の神さまの掃除人ですが、いつの間にか花嫁として溺愛されています（6）,2
ひらやすみ（8）,6
異世界ひろゆき 4,2
信長を殺した男　〜日輪のデマルカシオン〜　8,2
継とあやかし（3）,6
決定版　ゲゲゲの鬼太郎　全14巻セット,5
小林さんちのメイドラゴン カンナの日常（15）,2
シャングリラ・フロンティア（23）エキスパンションパス　〜クソゲーハンター、神ゲーに挑まんとす〜,2
宮廷をクビになった植物魔導師はスローライフを謳歌する〜のんびり世界樹を育てたら、最強領地ができました〜　5,2
ふつうの軽音部 8,2
死に戻りの魔法学校生活を、元恋人とプロローグから 6 （※ただし好感度はゼロ）,2
爆笑戦士！ SDガンダム Vol.1,5
問題だらけの魔法使い（2）,6
りえさん手帖6,5
娘の寝室（5）,2
完本 青い車,5
アンダー3（1）,2
バウンスバック（14）,2
KILLER’S　HOLIDAY　8,5
穏やか貴族の休暇のすすめ。@COMIC 第13巻,2
信じていた仲間達にダンジョン奥地で殺されかけたがギフト『無限ガチャ』でレベル9999の仲間達を手に入れて元パーティーメンバーと世界に復讐＆『ざまぁ！』します！（14）,2
危険地帯潜入調査報告書　予期せぬ大惨事!?　初めての海外二人取材編,5
初恋の少年は冷徹騎士に豹変していました　1 全力で告白されるなんて想定外です!!,2
優しくさせてよ俺のΩ,2
ヤンキーJKクズハナちゃん　28,2
月はヒツジを数えない　1,2
メイデーア転生物語 この世界で一番悪い魔女（10）,2
魔法少女リリカルなのは　The　MOVIE　メモリアルビジュアルコレクション,5
魔都精兵のスレイブ 19,2
D級冒険者の俺、なぜか勇者パーティーに勧誘されたあげく、王女につきまとわれてる 7,2
歌う猫のバズ,2
追放された悪役令嬢は断罪を満喫する（7）,2
